pdf_name,url,category,priority_tier,control_pdfua,control_wcag,our_pdfua,our_wcag,overall_result,failure_summary
Mandate For General Organisations,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-organisations.pdf,Forms,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Price List,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,Regulations,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Banking Terms And Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-banking-terms-and-conditions.pdf,Regulations,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Invoice Discounting Smart Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-discounting-smart-form.pdf,GIB/RF/IIF,Tier 1,Fail,Fail,Fail,Pending Adobe,FAIL,"At least one heading present, Document language present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Global Funds Transfer,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/global-funds-transfer.pdf,Solutions,Tier 1,Fail,Fail,Fail,Pending Adobe,FAIL,"At least one heading present, Document language present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Womens Business Growth Initiative Report,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-womens-business-growth-initiative-report.pdf,Campaigns,Tier 1,Fail,Fail,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Debit Card Factsheet 2,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/business-debit-card-factsheet-2.pdf,Products,Tier 1,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Guarantee And Standby Letters Of Credit Wording,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/guarantee-and-standby-letters-of-credit-wording.pdf,Products,Tier 1,Fail,Fail,Fail,Pending Adobe,FAIL,"At least one heading present, Document language present, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Deposit Account Additional Conditions,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-deposit-account-additional-conditions.pdf,General,Tier 1,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Commercial Card Agreement Terms,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/commercial-card-agreement-terms.pdf,General,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Dp270 Setup Business User Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/dp270-setup-business-user-guide.pdf,Campaigns,Tier 2,Partial,Partial,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Document title present, Bookmarks present when required, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Receive Aus Factsheet Global Wallet V2,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/receive-aus-factsheet-global-wallet-v2.pdf?download=1,Solutions,Tier 2,Partial,Partial,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Invoice Discounting Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/invoice-discounting-brochure.pdf,Products,Tier 2,Partial,Partial,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Deposit Account,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/business-deposit-account.pdf,Generic,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Rfb1085 Financial Services Compensation Scheme Information Sheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/rfb1085-financial-services-compensation-scheme-information-sheet.pdf,Generic,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Money Manager Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/business-money-manager-additional-conditions.pdf,Products,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Corporate Tracker Insights Paper,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/hsbc-uk-corporate-tracker-insights-paper.pdf,Articles,Tier 2,Partial,Partial,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Notification Of Debts Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/notification-of-debts-form.pdf,GIB/RF/IIF,Tier 2,Fail,Fail,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Takeover Fraud Infographics,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/takeover-fraud-infographics.pdf,Campaigns,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Instant Advice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/instant-advice.pdf,Solutions,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Request For Transfer Of Letter Of Credit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/request-for-transfer-of-letter-of-credit.pdf,Solutions,Tier 2,Fail,Fail,Fail,Pending Adobe,FAIL,"Figure alt text present, Form fields have tooltips, At least one heading present, Lists use L tag, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Rf On Hsbcnet User Application Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/rf-on-hsbcnet-user-application-form.pdf,GIB/RF/IIF,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Collection Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/collection-form.pdf,GIB/RF/IIF,Tier 2,Pass,Pass,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Rf Credit Protection,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/rf-credit-protection.pdf,GIB/RF/IIF,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Fx Conversion Rates,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/fx-conversion-rates.pdf,Generic,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Cmb Payment Fraud And Scams,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-cmb-payment-fraud-and-scams.pdf,Campaigns,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Adobe accessibility check, Colour contrast machine check, Reading order machine check"
International Fixed Term Deposit Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/international-fixed-term-deposit-additional-conditions.pdf,Products,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Retentions Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/retentions-guide.pdf,GIB/RF/IIF,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Instruction For Collection Faqs,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/instruction-for-collection-faqs.pdf,GIB/RF/IIF,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Email Compromise Ceo Fraud Infographics,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/business-email-compromise-ceo-fraud-infographics.pdf,Campaigns,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Deed Of Priority Unlimited Priority,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-deed-of-priority-unlimited-priority.pdf,Campaigns,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Bookmarks present when required, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Starting A Franchise Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-starting-a-franchise-guide.pdf,Campaigns,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Export Finance,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/export-finance.pdf,Solutions,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Adding A New User Profile For Rf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/adding-a-new-user-profile-for-rf.pdf,GIB/RF/IIF,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Lists use L tag, Document language present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Current Account Switch Data Privacy Notice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/hsbc-current-account-switch-data-privacy-notice.pdf,Products,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Rapid Reconciliation Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/rapid-reconciliation-factsheet.pdf,Products,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Price List,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,Regulations,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hbuk Ftd Summary Box,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hbuk-ftd-summary-box.pdf,General,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Export Finance,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/export-finance.pdf,Products,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Smartsweep Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/smartsweep-factsheet.pdf,Products,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Control Account Activity Report Ids,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/control-account-activity-report-ids.pdf,GIB/RF/IIF,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Growing Your Business Through Franchising,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/growing-your-business-through-franchising.pdf,Campaigns,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Forwarding Of Payments Received Direct Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/forwarding-of-payments-received-direct-form.pdf,GIB/RF/IIF,Tier 3,,,Fail,Pending Adobe,FAIL,"Form fields have tooltips, At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Go Greener Reward Terms,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/go-greener-reward-terms.pdf,Products,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Uk Grow With Google Practical Ai For Marketing,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/uk-grow-with-google-practical-ai-for-marketing.pdf,Generic,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document language present, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
International Business Instant Access Savings Account Summary Box,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/international-business-instant-access-savings-account-summary-box.pdf,Generic,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Kinetic Business Banking Terms And Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/kinetic-business-banking-terms-and-conditions.pdf,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Kinetic Savings Account Extra Terms,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/kinetic-savings-account-extra-terms.pdf,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Customer Documentation Guide 12Dec19,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/customer-documentation-guide-12dec19.pdf,General,Tier 3,,,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Intro Letter From Customer,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/intro-letter-from-customer.pdf,GIB/RF/IIF,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
